ID,experimental_phase,group,date,rnd,intake
419,Experimental,Uncertainty,2022-10-17,3,50
420,Experimental,No-Uncertainty,2022-10-17,3,64
421,Experimental,No-Uncertainty,2022-10-17,3,59
422,Experimental,No-Uncertainty,2022-10-17,3,62
413,Experimental,Uncertainty,2022-10-18,3,57
414,Experimental,No-Uncertainty,2022-10-18,3,56
415,Experimental,No-Uncertainty,2022-10-18,3,62
416,Experimental,Uncertainty,2022-10-18,3,38
417,Experimental,Uncertainty,2022-10-18,3,57
418,Experimental,Uncertainty,2022-10-18,3,48
419,Experimental,Uncertainty,2022-10-18,3,51
420,Experimental,No-Uncertainty,2022-10-18,3,61
421,Experimental,No-Uncertainty,2022-10-18,3,65
422,Experimental,No-Uncertainty,2022-10-18,3,66
413,Experimental,Uncertainty,2022-10-19,3,53
414,Experimental,No-Uncertainty,2022-10-19,3,62
415,Experimental,No-Uncertainty,2022-10-19,3,64
416,Experimental,Uncertainty,2022-10-19,3,49
417,Experimental,Uncertainty,2022-10-19,3,51
418,Experimental,Uncertainty,2022-10-19,3,70
419,Experimental,Uncertainty,2022-10-19,3,54
420,Experimental,No-Uncertainty,2022-10-19,3,68
421,Experimental,No-Uncertainty,2022-10-19,3,71
422,Experimental,No-Uncertainty,2022-10-19,3,67
413,Experimental,Uncertainty,2022-10-20,3,45
414,Experimental,No-Uncertainty,2022-10-20,3,59
415,Experimental,No-Uncertainty,2022-10-20,3,70
416,Experimental,Uncertainty,2022-10-20,3,50
417,Experimental,Uncertainty,2022-10-20,3,69
418,Experimental,Uncertainty,2022-10-20,3,80
419,Experimental,Uncertainty,2022-10-20,3,49
420,Experimental,No-Uncertainty,2022-10-20,3,71
421,Experimental,No-Uncertainty,2022-10-20,3,58
422,Experimental,No-Uncertainty,2022-10-20,3,60
413,Experimental,Uncertainty,2022-10-21,3,67
414,Experimental,No-Uncertainty,2022-10-21,3,59
415,Experimental,No-Uncertainty,2022-10-21,3,64
416,Experimental,Uncertainty,2022-10-21,3,48
417,Experimental,Uncertainty,2022-10-21,3,54
418,Experimental,Uncertainty,2022-10-21,3,42
419,Experimental,Uncertainty,2022-10-21,3,39
